Район,active_n,active_med_qm,closed_n,closed_med_qm,market_pressure,sale_gap_pct,Тип объекта
1 мкр,10,106025.85500000001,11,88408.64,1.1,19.927028625256547,Офисное помещение
Центр: КПД,34,115156.7,23,100000.0,0.6764705882352942,15.156699999999997,Офисное помещение
Центр: Исторический,64,160214.05,19,153270.29,0.296875,4.530401814989702,Офисное помещение
Дом Обороны,19,134228.19,5,147681.82,0.2631578947368421,-9.109875541891348,Офисное помещение
Центр: Драмтеатр,52,154971.1,8,111560.29000000001,0.15384615384615385,38.91242125670343,Офисное помещение
МЖК,14,191764.70500000002,4,226173.36,0.2857142857142857,-15.21339869558465,Свободного назначения
3-й Заречный мкр,17,131648.94,4,212199.995,0.23529411764705882,-37.95997026295877,Свободного назначения
2-й Заречный мкр,21,100000.0,4,37720.634999999995,0.19047619047619047,165.10688380511095,Свободного назначения
Южный,29,134899.91,3,124282.98,0.10344827586206896,8.542545407263335,Свободного назначения
Центр: Исторический,67,130764.37,6,59983.815,0.08955223880597014,117.99942201075405,Свободного назначения
Европейский мкр.,44,249999.995,3,200668.9,0.06818181818181818,24.58332855763898,Свободного назначения
Центр: Драмтеатр,83,123931.62,4,52901.020000000004,0.04819277108433735,134.27075697217177,Свободного назначения
Центр: КПД,82,176955.61,3,177956.38,0.036585365853658534,-0.5623681488688512,Свободного назначения
Дом Обороны,86,147261.81,3,116960.15,0.03488372093023256,25.90767881197143,Свободного назначения
Центр: Исторический,34,105113.765,9,195454.55,0.2647058823529412,-46.22086566928219,Торговое помещение
Центр: КПД,12,137722.7,3,216007.27,0.25,-36.24163668195056,Торговое помещение
Центр: Драмтеатр,40,108017.20000000001,4,186049.65,0.1,-41.94173437036833,Торговое помещение
Дом Обороны,45,170000.0,3,91633.47,0.06666666666666667,85.52173130625742,Торговое помещение
